Date: 2021-08-30, Strokes: 662
Date: 2021-08-31, Strokes: 1299
Date: 2021-09-01, Strokes: 1216
Date: 2021-09-02, Strokes: 1463
Date: 2021-09-03, Strokes: 1513
Date: 2021-09-04, Strokes: 1801
Date: 2021-09-06, Strokes: 1302
Date: 2021-09-07, Strokes: 1894
Date: 2021-09-08, Strokes: 1514
Date: 2021-09-09, Strokes: 1802
Date: 2021-09-10, Strokes: 1008
Date: 2021-09-11, Strokes: 1607
Date: 2021-09-13, Strokes: 1846
Date: 2021-09-14, Strokes: 1500
Date: 2021-09-15, Strokes: 1871
Date: 2021-09-16, Strokes: 1602
Date: 2021-03-23, Strokes: 234
Date: 2021-03-30, Strokes: 281
Date: 2021-04-01, Strokes: 427
Date: 2021-04-03, Strokes: 724
Date: 2021-04-13, Strokes: 320
Date: 2021-04-15, Strokes: 307
Date: 2021-04-17, Strokes: 675
Date: 2021-04-20, Strokes: 460
Date: 2021-04-22, Strokes: 1901
Date: 2021-04-23, Strokes: 410
Date: 2021-04-26, Strokes: 653
Date: 2021-04-27, Strokes: 949
Date: 2021-04-28, Strokes: 960
Date: 2021-04-29, Strokes: 422
Date: 2021-04-30, Strokes: 622
Date: 2021-05-03, Strokes: 411
Date: 2021-05-04, Strokes: 2396
Date: 2021-05-06, Strokes: 597
Date: 2021-05-10, Strokes: 691
Date: 2021-05-11, Strokes: 1242
Date: 2021-05-13, Strokes: 1246
Date: 2021-05-14, Strokes: 881
Date: 2021-05-18, Strokes: 1675
Date: 2021-05-19, Strokes: 497
Date: 2021-05-20, Strokes: 555
Date: 2021-05-22, Strokes: 622
Date: 2021-05-23, Strokes: 344
Date: 2021-05-24, Strokes: 867
Date: 2021-05-25, Strokes: 1135
Date: 2021-05-26, Strokes: 1002
Date: 2021-05-27, Strokes: 727
Date: 2021-06-03, Strokes: 941
Date: 2021-06-07, Strokes: 956
Date: 2021-06-14, Strokes: 776
Date: 2021-06-16, Strokes: 646
Date: 2021-06-17, Strokes: 330
Date: 2021-06-21, Strokes: 723
Date: 2021-06-22, Strokes: 880
Date: 2021-06-24, Strokes: 662
Date: 2021-07-13, Strokes: 171
Date: 2021-07-24, Strokes: 511
Date: 2021-07-28, Strokes: 1088
Date: 2021-07-30, Strokes: 734
Date: 2021-08-06, Strokes: 524
Date: 2021-08-08, Strokes: 838
Date: 2021-08-09, Strokes: 933
Date: 2021-08-10, Strokes: 1218
Date: 2021-08-12, Strokes: 774
Date: 2021-09-20, Strokes: 1849
Date: 2021-09-21, Strokes: 2093
Date: 2021-09-22, Strokes: 1962
Date: 2021-09-23, Strokes: 1568
Date: 2021-09-24, Strokes: 945
Date: 2021-09-25, Strokes: 2125
Date: 2021-09-27, Strokes: 1724
Date: 2021-09-28, Strokes: 1585
Date: 2021-09-30, Strokes: 1567
Date: 2021-10-04, Strokes: 1559
Date: 2021-10-05, Strokes: 1484
Date: 2021-10-06, Strokes: 1318
Date: 2021-10-07, Strokes: 1565
Date: 2021-10-11, Strokes: 327
Date: 2021-10-15, Strokes: 636
Date: 2021-10-16, Strokes: 1318
Date: 2021-10-18, Strokes: 1678
Date: 2021-10-19, Strokes: 1458
Date: 2021-10-20, Strokes: 1597
Date: 2021-10-21, Strokes: 1497
Date: 2021-10-22, Strokes: 1017
Date: 2021-10-23, Strokes: 887
Date: 2021-10-25, Strokes: 1682
Date: 2021-10-26, Strokes: 1319
Date: 2021-10-27, Strokes: 1265
Date: 2021-10-28, Strokes: 1241
Date: 2021-11-01, Strokes: 1157
Date: 2021-11-02, Strokes: 892
Date: 2021-11-03, Strokes: 1759
Date: 2021-11-04, Strokes: 1596
Date: 2021-11-05, Strokes: 282
Date: 2021-11-08, Strokes: 1788
Date: 2021-11-09, Strokes: 1323
Date: 2021-11-10, Strokes: 1441
Date: 2021-11-11, Strokes: 1476
Date: 2021-11-12, Strokes: 1430
Date: 2021-11-13, Strokes: 793
Date: 2021-11-15, Strokes: 2120
Date: 2021-11-16, Strokes: 1506
Date: 2021-11-17, Strokes: 979
Date: 2021-11-19, Strokes: 1102
Date: 2021-11-22, Strokes: 551
Date: 2021-11-23, Strokes: 1386
Date: 2021-11-24, Strokes: 1251
Date: 2021-11-29, Strokes: 1330
Date: 2021-11-30, Strokes: 1306
Date: 2021-12-01, Strokes: 1702
Date: 2021-12-02, Strokes: 1435
Date: 2021-12-03, Strokes: 940
Date: 2021-12-04, Strokes: 538
Date: 2021-12-06, Strokes: 984
Date: 2021-12-07, Strokes: 219
Date: 2021-12-15, Strokes: 244
Date: 2021-12-20, Strokes: 178
Date: 2022-01-03, Strokes: 367
Date: 2022-01-04, Strokes: 715
Date: 2022-01-05, Strokes: 384
Date: 2022-01-06, Strokes: 667
Date: 2022-01-07, Strokes: 681
Date: 2022-01-08, Strokes: 593
Date: 2022-01-10, Strokes: 576
Date: 2022-01-11, Strokes: 972
Date: 2022-01-12, Strokes: 732
Date: 2022-01-13, Strokes: 686
Date: 2022-01-14, Strokes: 804
Date: 2022-01-15, Strokes: 423
Date: 2022-01-18, Strokes: 391
Date: 2022-01-19, Strokes: 941
Date: 2022-01-20, Strokes: 996
Date: 2022-01-21, Strokes: 781
Date: 2022-01-22, Strokes: 422
Date: 2022-01-24, Strokes: 792
Date: 2022-01-25, Strokes: 780
Date: 2022-01-26, Strokes: 384
Date: 2022-01-28, Strokes: 378
Date: 2022-01-29, Strokes: 526
Date: 2022-01-31, Strokes: 842
Date: 2022-02-01, Strokes: 636
Date: 2022-02-02, Strokes: 887
Date: 2022-02-03, Strokes: 903
Date: 2022-02-04, Strokes: 1093
Date: 2022-02-05, Strokes: 1108
Date: 2022-02-07, Strokes: 1680
Date: 2022-02-08, Strokes: 860
Date: 2022-02-09, Strokes: 992
Date: 2022-02-10, Strokes: 782
Date: 2022-02-11, Strokes: 1218
Date: 2022-02-12, Strokes: 493
Date: 2022-02-14, Strokes: 733
Date: 2022-02-15, Strokes: 1108
Date: 2022-02-16, Strokes: 463
Date: 2022-02-22, Strokes: 771
Date: 2022-02-23, Strokes: 1118
Date: 2022-02-25, Strokes: 1008
Date: 2022-03-21, Strokes: 756
Date: 2022-03-23, Strokes: 782
Date: 2022-03-28, Strokes: 1061
Date: 2022-03-31, Strokes: 1089
Date: 2022-05-07, Strokes: 452
Date: 2022-06-11, Strokes: 280
Date: 2022-06-30, Strokes: 116
Date: 2022-07-18, Strokes: 603
Date: 2022-09-03, Strokes: 853
Date: 2022-09-07, Strokes: 226
Date: 2022-11-07, Strokes: 698
Date: 2022-11-16, Strokes: 700
Date: 2022-11-18, Strokes: 762
Date: 2022-11-23, Strokes: 602
Date: 2022-12-21, Strokes: 1647
Date: 2023-01-03, Strokes: 523
Date: 2023-01-04, Strokes: 612
Date: 2023-01-05, Strokes: 887
Date: 2023-01-17, Strokes: 548
Date: 2023-01-18, Strokes: 1368
Date: 2023-01-20, Strokes: 932
Date: 2023-01-25, Strokes: 1164
Date: 2023-01-27, Strokes: 615
